Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,-5.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E+00,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,
Firmware,V1.18,
Time,29-Jun-15 15:03:31,
Mode,Detail,
Waveform Data,
-3.756000e+00,9.80e-01,
-3.754000e+00,9.40e-01,
-3.752000e+00,9.80e-01,
-3.750000e+00,9.00e-01,
-3.748000e+00,9.40e-01,
-3.746000e+00,9.00e-01,
-3.744000e+00,9.40e-01,
-3.742000e+00,9.00e-01,
-3.740000e+00,9.40e-01,
-3.738000e+00,9.00e-01,
-3.736000e+00,9.40e-01,
-3.734000e+00,9.00e-01,
-3.732000e+00,9.40e-01,
-3.730000e+00,9.00e-01,
-3.728000e+00,9.20e-01,
-3.726000e+00,8.80e-01,
-3.724000e+00,9.20e-01,
-3.722000e+00,8.80e-01,
-3.720000e+00,8.80e-01,
-3.718000e+00,9.40e-01,
-3.716000e+00,9.40e-01,
-3.714000e+00,9.00e-01,
-3.712000e+00,9.40e-01,
-3.710000e+00,9.00e-01,
-3.708000e+00,9.40e-01,
-3.706000e+00,9.00e-01,
-3.704000e+00,9.40e-01,
-3.702000e+00,9.00e-01,
-3.700000e+00,9.00e-01,
-3.698000e+00,9.60e-01,
-3.696000e+00,9.80e-01,
-3.694000e+00,9.20e-01,
-3.692000e+00,9.60e-01,
-3.690000e+00,9.00e-01,
-3.688000e+00,9.40e-01,
-3.686000e+00,9.00e-01,
-3.684000e+00,9.40e-01,
-3.682000e+00,9.00e-01,
-3.680000e+00,9.00e-01,
-3.678000e+00,9.60e-01,
-3.676000e+00,9.60e-01,
-3.674000e+00,9.20e-01,
-3.672000e+00,9.60e-01,
-3.670000e+00,9.20e-01,
-3.668000e+00,9.40e-01,
-3.666000e+00,9.00e-01,
-3.664000e+00,9.40e-01,
-3.662000e+00,9.00e-01,
-3.660000e+00,9.60e-01,
-3.658000e+00,9.20e-01,
-3.656000e+00,9.80e-01,
-3.654000e+00,9.20e-01,
-3.652000e+00,9.60e-01,
-3.650000e+00,9.20e-01,
-3.648000e+00,9.40e-01,
-3.646000e+00,9.00e-01,
-3.644000e+00,9.40e-01,
-3.642000e+00,9.00e-01,
-3.640000e+00,9.00e-01,
-3.638000e+00,9.60e-01,
-3.636000e+00,9.20e-01,
-3.634000e+00,9.80e-01,
-3.632000e+00,9.80e-01,
-3.630000e+00,9.40e-01,
-3.628000e+00,9.60e-01,
-3.626000e+00,9.20e-01,
-3.624000e+00,9.60e-01,
-3.622000e+00,9.00e-01,
-3.620000e+00,9.60e-01,
-3.618000e+00,9.00e-01,
-3.616000e+00,9.60e-01,
-3.614000e+00,9.20e-01,
-3.612000e+00,9.80e-01,
-3.610000e+00,9.20e-01,
-3.608000e+00,9.40e-01,
-3.606000e+00,9.00e-01,
-3.604000e+00,9.40e-01,
-3.602000e+00,9.00e-01,
-3.600000e+00,9.00e-01,
-3.598000e+00,9.60e-01,
-3.596000e+00,9.80e-01,
-3.594000e+00,9.20e-01,
-3.592000e+00,9.60e-01,
-3.590000e+00,9.20e-01,
-3.588000e+00,9.40e-01,
-3.586000e+00,9.00e-01,
-3.584000e+00,9.40e-01,
-3.582000e+00,9.00e-01,
-3.580000e+00,9.20e-01,
-3.578000e+00,9.80e-01,
-3.576000e+00,1.00e+00,
-3.574000e+00,9.60e-01,
-3.572000e+00,1.00e+00,
-3.570000e+00,9.60e-01,
-3.568000e+00,9.80e-01,
-3.566000e+00,9.40e-01,
-3.564000e+00,9.20e-01,
-3.562000e+00,1.00e+00,
-3.560000e+00,9.40e-01,
-3.558000e+00,1.00e+00,
-3.556000e+00,1.00e+00,
-3.554000e+00,9.80e-01,
-3.552000e+00,1.00e+00,
-3.550000e+00,9.60e-01,
-3.548000e+00,9.80e-01,
-3.546000e+00,9.20e-01,
-3.544000e+00,9.20e-01,
-3.542000e+00,9.80e-01,
-3.540000e+00,9.40e-01,
-3.538000e+00,1.00e+00,
-3.536000e+00,1.02e+00,
